Musa acuminata, 103992657, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103977008, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103977010, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103977073, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103979257, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103981542, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103972200, peroxidase 60-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103990519, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103990520, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103978205, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103980512, peroxidase 18 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103986030, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103986064, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103988742, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103988743, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999483, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999538, peroxidase 39 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103982859, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103988351, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103989491, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103990626, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103981772, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103985043, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103985045, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103978478, peroxidase 43 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103997680, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103998799, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 104000712, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103996217, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103987320, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103991820, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999627, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103980668, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103969242, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103970422, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999763, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999747, LOW QUALITY PROTEIN: cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 104000856, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103986575, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103993311, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103976543, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103976600, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103976601, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103997791, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103968380, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103974374, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103974655, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103990991, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103973017, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103973004, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103974263, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103974789, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103973092, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103978609, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999814, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103997539, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103978599, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103973438, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103997944, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103987864, uncharacterized protein LOC103987864  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103997551, uncharacterized protein LOC103997551 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103999048, uncharacterized protein LOC103999048 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103980861, uncharacterized protein LOC103980861 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103980862, uncharacterized protein LOC103980862  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103981460, uncharacterized protein LOC103981460  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103994336, uncharacterized protein LOC103994336  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103994337, uncharacterized protein LOC103994337  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103984290, uncharacterized protein LOC103984290  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103979784, uncharacterized protein LOC103979784  [EC], ['EC:3.2.1.21'], KO:K05349
Musa acuminata, 103970559, beta-glucosidase 18 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Musa acuminata, 103982461, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Musa acuminata, 103994982, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Musa acuminata, 103979607, beta-glucosidase 26-like  [EC], ['EC:3.2.1.21'], KO:K05350
Musa acuminata, 103979901, beta-glucosidase 1  [EC], ['EC:3.2.1.21'], KO:K05350
Musa acuminata, 103974871, beta-glucosidase 26-like  [EC], ['EC:3.2.1.21'], KO:K05350
Musa acuminata, 103969829, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Musa acuminata, 103989223, anthocyanin 3'-O-beta-glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Musa acuminata, 103992831, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Musa acuminata, 103978386, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Musa acuminata, 103973889, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
