Aegilops tauschii
Amborella trichopoda
Arabidopsis lyrata
Lactuca sativa,C00013883,"{Quercetin IN NAME} Quercetin 3-(6''-malonylglucoside)-7-glucoside"
Lotus japonicus,C00000958,"{Epigallocatechin REL} epi-Gallocatechin 3-O-gallate"
Lotus japonicus,C00000958,"{Epigallocatechin REL} epi-Gallocatechin 3-O-gallate"
Lotus japonicus,C00005372,"{Quercetin IN NAME} Quercetin 3-galactoside"
Lotus japonicus,C00005374,"{Quercetin IN NAME} Quercetin3-O-alpha-rhamnopyranoside"
Lotus japonicus,C00005413,"{Quercetin REL} Rutin"
Lotus japonicus,C00009210,"{Epicatechin IN NAME} Catechin-(4alpha->8)-epicatechin-3-O-gallate"
Lotus japonicus,C00009210,"{Epicatechin IN NAME} Catechin-(4alpha->8)-epicatechin-3-O-gallate"
Lotus japonicus,C00009237,"{Gallocatechin IN NAME} Gallocatechin-(4alpha->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009237,"{Gallocatechin IN NAME} Gallocatechin-(4alpha->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009237,"{Gallocatechin IN NAME} Gallocatechin-(4alpha->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009238,"{Gallocatechin IN NAME} Epigallocatechin-(4beta->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009238,"{Gallocatechin IN NAME} Epigallocatechin-(4beta->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009238,"{Gallocatechin IN NAME} Epigallocatechin-(4beta->8)-epigallocatechin-3-O-gallate"
Lupinus angustifolius,C00008961,"{Epicatechin IN NAME} 9,10-Dihydro-8-hydroxy-10-methyl-8H-pyrano[2,3-h]epicatechin"
Lupinus angustifolius,C00008961,"{Epicatechin IN NAME} 9,10-Dihydro-8-hydroxy-10-methyl-8H-pyrano[2,3-h]epicatechin"
Lupinus angustifolius,C00009277,"{Cyanidin IN NAME} Proanthocyanidin A1"
Lupinus angustifolius,C00009453,"{Genistein IN NAME} 2'-Hydroxygenistein"
Malus domestica
Manihot esculenta
Micromonas commoda
Micromonas pusilla
Momordica charantia,C00000947,"Catechin"
Momordica charantia,C00000956,"Epicatechin"
Momordica charantia,C00000982,"Naringenin"
Momordica charantia,C00004565,"Kaempferol"
Momordica charantia,C00004631,"Quercetin"
Momordica charantia,C00005413,"{Quercetin REL} Rutin"
Momordica charantia,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Momordica charantia,C00007234,"{Kaempferol IN NAME} dihydrokaempferol"
Momordica charantia,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Monoraphidium neglectum
Musa acuminata,C00000947,"Catechin"
Musa acuminata,C00000956,"Epicatechin"
Musa acuminata,C00000982,"Naringenin"
Musa acuminata,C00004565,"Kaempferol"
Musa acuminata,C00004631,"Quercetin"
Musa acuminata,C00005372,"{Quercetin IN NAME} Quercetin 3-galactoside"
Musa acuminata,C00005413,"{Quercetin REL} Rutin"
Musa acuminata,C00006686,"{Quercetin REL} Peonidin 3-rutinoside"
Musa acuminata,C00006727,"{Quercetin REL} Petunidin 3-rutinoside"
Musa acuminata,C00006740,"{Quercetin REL} Malvidin 3-rutinoside"
Nelumbo nucifera,C00002644,"{Catechin IN NAME} Pyrocatechin"
Nelumbo nucifera,C00005372,"{Quercetin IN NAME} Quercetin 3-galactoside"
Nelumbo nucifera,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum,C00005472,"{Quercetin REL} Quercetin 3-rutinoside-7-glucoside"
Nicotiana tabacum,C00006639,"{Quercetin REL} Pelargonidin 3-rutinoside"
Nicotiana tomentosiformis
Olea europaea v. sylvestris
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Ostreococcus lucimarinus
Ostreococcus tauri
Papaver somniferum,C00005411,"{Quercetin IN NAME} Quercetin 3-gentiobioside"
Phalaenopsis equestris,C00011095,"{Cyanidin IN NAME} Cyanidin 3-O-[beta-D-glucopyranoside]-7,3'-di-O-[6-O-(sinapyl)-beta-D-glucopyranoside]"
Phalaenopsis equestris,C00011096,"{Cyanidin IN NAME} Cyanidin 3-O-[6-O-(malonyl)-beta-D-glucopyranoside]-7,3'-di-O-[6-O-(sinapyl)-beta-D-glucopyranoside]"
Phaseolus vulgaris,C00002526,"Genistein"
Phaseolus vulgaris,C00005141,"{Kaempferol IN NAME} Kaempferol 3-glucuronide"
Phaseolus vulgaris,C00005150,"{Kaempferol IN NAME} Kaempferol 7-O-rhamnoside"
Phaseolus vulgaris,C00005524,"{Quercetin REL} Isorhamnetin 3-galactoside"
Phaseolus vulgaris,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Phaseolus vulgaris,C00009453,"{Genistein IN NAME} 2'-Hydroxygenistein"
Phoenix dactylifera
Physcomitrium patens subsp. Patens
Populus trichocarpa
Populus euphratica
Prunus avium,C00000947,"Catechin"
Prunus avium,C00000956,"Epicatechin"
Prunus avium,C00000960,"Eriodictyol"
Prunus avium,C00000982,"Naringenin"
Prunus avium,C00003817,"Apigenin"
Prunus avium,C00004593,"{Kaempferol IN NAME} 6-Methoxykaempferol"
Prunus avium,C00004631,"Quercetin"
Prunus avium,C00005149,"{Kaempferol IN NAME} Kaempferol-7-O-glucoside"
Prunus avium,C00005152,"{Kaempferol IN NAME} Kaempferol 4'-glucoside"
Prunus avium,C00005194,"{Kaempferol IN NAME} Kaempferol 3,4'-di-O-beta-D-glucopyranoside"
Prunus avium,C00005217,"{Quercetin REL} Kaempferol 3-(2G-glucosylrutinoside)"
Prunus avium,C00005247,"{Quercetin REL} Kaempferol 3-rutinoside-4'-glucoside"
Prunus avium,C00005477,"{Quercetin REL} Quercetin 3-rutinoside-4'-glucoside"
Prunus avium,C00005488,"{Quercetin REL} Quercetin 3-rutinoside-7,3'-diglucoside"
Prunus avium,C00006614,"Cyanidin"
Prunus avium,C00007234,"{Kaempferol IN NAME} dihydrokaempferol"
Prunus avium,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Prunus avium,C00048239,"Naringenin"
Prunus mume,C00000982,"Naringenin"
Prunus mume,C00005412,"{Quercetin IN NAME} Quercetin 3-O-neohesperidoside"
Prunus mume,C00005413,"{Quercetin REL} Rutin"
Prunus mume,C00005526,"{Quercetin REL} Isorhamnetin-3-O-rhamnoside"
Prunus mume,C00013879,"{Quercetin IN NAME} Quercetin 3-rhamnosyl-(1->6)-(2''-acetylglucoside)"
Prunus mume,C00013923,"{Quercetin REL} Isorhamnetin 3-rhamnosyl-(1->6)-(2''-acetylglucoside)"
Prunus persica,C00000947,"Catechin"
Prunus persica,C00000982,"Naringenin"
Prunus persica,C00000998,"{Naringenin IN NAME} Naringenin 7-O-beta-D-glucoside"
Prunus persica,C00002644,"{Catechin IN NAME} Pyrocatechin"
Prunus persica,C00004565,"Kaempferol"
Prunus persica,C00007234,"{Kaempferol IN NAME} dihydrokaempferol"
Prunus persica,C00009261,"{Catechin IN NAME} ent-Epiafzelechin-(2alpha->7,4alpha->8)-catechin"
Pyrus x bretschneideri
Quercus suber,C00005849,"{Kaempferol IN NAME} Kaempferol 3-(2''-p-coumarylglucoside)"
Quercus suber,C00005853,"{Kaempferol IN NAME} Kaempferol 3-(4''-acetyl-6''-p-coumarylglucoside)"
Quercus suber,C00005858,"{Kaempferol IN NAME} Kaempferol 3-(2'',3''-diacetyl-4''-(Z)-p-coumaryl-6''-(E)-p-coumarylglucoside)"
Quercus suber,C00005859,"{Kaempferol IN NAME} Kaempferol 3-(3'',4''-diacetyl-2'',6''-di-(E)-p-coumarylglucoside)"
Ricinus communis,C00005134,"{Kaempferol IN NAME} Kaempferol 3-xyloside"
Ricinus communis,C00013786,"{Kaempferol IN NAME} Kaempferol 3-(6''-acetylglucosyl)-(1->3)-galactoside"
Ricinus communis,C00014318,"{Naringenin IN NAME} Naringenin 7-(2-p-Coumaroylglucoside)"
Selaginella moellendorffii
Sesamum indicum,C00003886,"{Luteolin IN NAME} 6-Hydroxyluteolin 6-methyl ether"
Setaria italica,C00004436,"{Luteolin IN NAME} 8-Hydroxyluteolin 8,3'-dimethyl ether 7-glucoside"
Solanum lycopersicum,C00000998,"{Naringenin IN NAME} Naringenin 7-O-beta-D-glucoside"
Solanum lycopersicum,C00004565,"Kaempferol"
Solanum lycopersicum,C00005374,"{Quercetin IN NAME} Quercetin3-O-alpha-rhamnopyranoside"
Solanum lycopersicum,C00005413,"{Quercetin REL} Rutin"
Solanum lycopersicum,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Solanum pennellii,C00004638,"{Quercetin IN NAME} Quercetin 3,7-dimethyl ether"
Solanum pennellii,C00004649,"{Quercetin IN NAME} Quercetin 7,3',4'-trimethyl ether"
Solanum tuberosum,C00000956,"Epicatechin"
Solanum tuberosum,C00005230,"{Kaempferol IN NAME} Kaempferol 3-sophoroside-7-rhamnoside"
