ACANTHACEAE#ADHATODA VASICA#QUERCETIN
ARACEAE#ARUM ORIENTALE#QUERCETIN
ARACEAE#DRACUNCULUS VULGARIS#QUERCETIN
ARACEAE#PHILODENDRON BIPINNATIFIDUM#QUERCETIN
ARACEAE#SYMPLOCARPUS RENIFOLIUS#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSYL-7-O-(6''''-TRANS-CAFFEOYL)-BETA-D-GLUCOPYRANOSIDE#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSYL-7-O-BETA-D-GLUCOPYRANOSIDE
ARALIACEAE#ACANTHOPANAX SCIADOPHYLLOIDES#QUERCETIN-3-7-BIS-O-ALPHA-L-RHAMNOPYRANOSIDE
ARALIACEAE#ARALIA CONTINENTALIS#QUERCETIN
ARALIACEAE#ARALIA ELATA#QUERCETIN-3-O-BETA-L-RHAMNOPYRANOSIDE
ARALIACEAE#ELEUTHEROCOCCUS SENTICOSUS#QUERCETIN
ARALIACEAE#HEDERA HELIX#QUERCETIN
ARALIACEAE#OPLOPANAX JAPONICUS#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYFL(1-2)-BETA-D-GALACTOPYRANOSIDE
ARALIACEAE#PANAX PSEUDOGINSENG_var.NOTOGINSENG#QUERCETIN#QUERCETIN-3-O-SOPHOROSIDE#QUERCETIN-GXUCURONOSYL-GLYCOSIDE
ARALIACEAE#PENTAPANAX LESCHENAULTII#QUERCETIN
ARECACEAE#PHOENIX CANARIENSIS#QUERCETIN-3-4'-DI-O-BETA-D-GLUCOSIDE
ARECACEAE#PHOENIX DACTYLIFERA#QUERCETIN#QUERCETIN-3-O-BETA-D-GLUCOSIDE-DISULFATE
ARECACEAE#SABAL BLACKBURNIANUM#QUERCETIN-3-7-DI-O-BETA-D-GLUCOSIDE
ARISTOLOCHIACEAE#ARISTOLOCHIA FOVEOLATA#QUERCETIN-3-7-O-DIGLUCOSIDE
ARISTOLOCHIACEAE#ASARUM EUROPAEUM#QUERCETIN
ARISTOLOCHIACEAE#SARUMA HENRYI#QUERCETIN-3-O-RUTINOSIDE-7-O-BETA-D-GLUCOSIDE
ASCLEPIADACEAE#ANTITOXICUM SCANDENS#QUERCETIN
ASCLEPIADACEAE#ASCLEPIAS CURASSAVICA#QUERCETIN-3-O-(2''-6''-ALPHA-L-DIRHAMNOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE#QUERCETIN-3-O-(2''-O-ALPHA-L-RHAMNOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANOSYL-(1-6)-BETA-D-GLUCOPYRANOSIDE#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL(1-6)-BETA-D-GALACTOPYRANOSIDE
ASCLEPIADACEAE#ASCLEPIAS INCARNATA#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-GALACTOPYRANOSIDE
ASCLEPIADACEAE#ASCLEPIAS PRINGLEI#QUERCETIN
ASCLEPIADACEAE#ASCLEPIAS SYRIACA#QUERCETIN
ASCLEPIADACEAE#CRYPTOLEPIS OBTUSA#QUERCETIN-3-O-RHAMNOGALACTOSIDE
ASCLEPIADACEAE#CYNANCHUM KOMAROVII#QUERCETIN
ASCLEPIADACEAE#CYNANCHUM TAIWANIANUM#QUERCETIN
ASCLEPIADACEAE#CYNANCHUM THESIOIDES#QUERCETIN
ASCLEPIADACEAE#CYNANCHUM THESIOIDES_var.AUSTRALE#QUERCETIN
ASCLEPIADACEAE#CYNANCHUM VINCETOXICUM#QUERCETIN#QUERCETIN-7-O-ALPHA-L-RHAMNOSIDE
ASCLEPIADACEAE#DISCHIDIA FORMOSANA#QUERCETIN
ASCLEPIADACEAE#GOMPHOCARPUS FRUTICOSUS#QUERCETIN
ASCLEPIADACEAE#LEPTADENIA PYROTECHNICA#QUERCETIN
ASCLEPIADACEAE#MARSDENIA VOLUBILIS#QUERCETIN
ASCLEPIADACEAE#SOLENOSTEMMA ARGEL#QUERCETIN
ASPLENIACEAE#ASPLENIUM SEPTENTRIONALE#QUERCETIN-3-O-(3''-SULFATE)-GLUCOSIDE
ASPLENIACEAE#ASPLENIUM TRICHOMANES#QUERCETIN
ASPLENIACEAE#ASPLENIUM TRICHOMANES-RAMOSUM#QUERCETIN-3-O-ALPHA-L-RHAMNOSIDE-7-O-ARABINOSIDE#QUERCETIN-3-O-GLUCOSIDE-7-O-RHAMNOSIDE#QUERCETIN-3-O-RHAMNOSIDE-7-O-ARABINOSIDE
ASPLENIACEAE#CETERACH OFFICINARUM#QUERCETIN#QUERCETIN-3-O-BETA-GENTIOBIOSIDE
ASTERACEAE#ACANTHOSPERMUM AUSTRALE#QUERCETIN
ASTERACEAE#ACHILLEA ABROTANOIDES#QUERCETIN-3-O-GLYCOSIDE
ASTERACEAE#ACHILLEA ABSINTHOIDES#
ASTERACEAE#ACHILLEA AEGYPTIACA#
ASTERACEAE#ACHILLEA AGERATIFOLIA#QUERCETIN
ASTERACEAE#ACHILLEA AGERATIFOLIA_ssp.AGERATIFOLIA#
ASTERACEAE#ACHILLEA AGERATIFOLIA_ssp.SERBICA#
ASTERACEAE#ACHILLEA AMBROSIACA#
ASTERACEAE#ACHILLEA ASIATICA#QUERCETIN-3-O-GLYCOSIDE
ASTERACEAE#ACHILLEA ASPLENIIFOLIA#
ASTERACEAE#ACHILLEA ATRATA#
ASTERACEAE#ACHILLEA BARRELIERI#QUERCETIN-3-O-GLYCOSIDE
