ACANTHACEAE#ANISACANTHUS VIRGULARIS#LUTEOLIN
ASTERACEAE#ACHILLEA ERIOPHORA#LUTEOLIN,6-HYDROXY: 3'-4'-6-7-TETRAMETHYL ETHER#LUTEOLIN,6-HYDROXY: 4'-6-7-TRIMETHYL ETHER
ASTERACEAE#ACHILLEA FRAGRANTISSIMA#LUTEOLIN-7-O-RHAMNOSIDE
ASTERACEAE#ACHILLEA GRANDIFOLIA#LUTEOLIN
ASTERACEAE#ACHILLEA HOLOSERICEA#LUTEOLIN
ASTERACEAE#ACHILLEA KOTSCHYI#LUTEOLIN#LUTEOLIN,6-HYDROXY:
ASTERACEAE#ACHILLEA KRACSHENINNIKOVII#LUTEOLIN
ASTERACEAE#ACHILLEA LIGUSTICA#LUTEOLIN
ASTERACEAE#ACHILLEA MAGNIFICA#LUTEOLIN-3'-4'-6-7-TETRAMETHYL ETHER
ASTERACEAE#ACHILLEA MILLEFOLIUM#LUTEOLIN
ASTERACEAE#ACHILLEA MILLEFOLIUM_CV.ALPESTRIS#LUTEOLIN#LUTEOLIN-7-MALONYL-GLUCOSIDE
ASTERACEAE#ACHILLEA MILLEFOLIUM_CV.CERETANUM#LUTEOLIN#LUTEOLIN-7-MALONYL-GLUCOSIDE
ASTERACEAE#ACHILLEA MILLEFOLIUM_CV.LANULOSA#LUTEOLIN
ASTERACEAE#ACHILLEA MILLEFOLIUM_CV.MILLEFOLIUM#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'4'-6-7-TETRAMETHYL ETHER#LUTEOLIN-7-MALONYL-GLUCOSIDE
ASTERACEAE#ACHILLEA MILLEFOLIUM_CV.SUDETICA#LUTEOLIN
ASTERACEAE#ACHILLEA MUCRONULATA#LUTEOLIN
ASTERACEAE#ACHILLEA NANA#LUTEOLIN
ASTERACEAE#ACHILLEA NOBILIS#LUTEOLIN-4'-O-BETA-GLUCOPYRANOSIDE#LUTEOLIN-6-C-APIOFURANOSYL(1'''-2'')-BETA-GLUCOPYRANOSIDE#LUTEOLIN-7-O-GLUCURONOPYRANOSIDE
ASTERACEAE#ACHILLEA PANNONICA#LUTEOLIN#LUTEOLIN-4'-7-O-BETA-D-DIGLUCOSIDE
ASTERACEAE#ACHILLEA ROSEO-ALBA#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#ACHILLEA SCHISCHKINII#LUTEOLIN,6-HYDROXY: 3'-4'-6-7-TETRAMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ETHER
ASTERACEAE#ACHILLEA SETACEA#LUTEOLIN#LUTEOLIN,6-HYDROXY-3'-4'-6-7-TETRAOMETHYL:
ASTERACEAE#ACHILLEA SINTENISII#LUTEOLIN,6-HYDROXY: 3'-4'-6-7-TETRAMETHYL ETHER
ASTERACEAE#ACHILLEA SPINULIFOLIA#LUTEOLIN,6-HYDROXY: 3'-4'-6-7-TETRAMETHYL ETHER
ASTERACEAE#ACHILLEA UMBELLATA#LUTEOLIN
ASTERACEAE#ACHILLEA WILHELMSII#LUTEOLIN,6-HYDROXY: 3'-4'-6-7-TETRAMETHYL:
ASTERACEAE#ACHYROCLINE SATUREIOIDES#LUTEOLIN
ASTERACEAE#ACHYROCLINE TOMENTOSA#LUTEOLIN
ASTERACEAE#ADENOTHAMNUS VALIDUS#LUTEOLIN,7-METHYL:
ASTERACEAE#AGERATINA TOMENTELLA#LUTEOLIN,6-METHOXY: 3'-4'-7-TRIMETHYL ETHER#LUTEOLIN,6-METHOXY: 3'-7-DIMETHYL ETHER#LUTEOLIN,6-METHOXY: 3'-METHYL-ETHER#LUTEOLIN,6-METHOXY: 4'-7-DIMETHYL ETHER
ASTERACEAE#AJANIA SPECIES#LUTEOLIN
ASTERACEAE#AMBROSIA BIDENTATA#LUTEOLIN
ASTERACEAE#ANDRYALA RAGUSINA#LUTEOLIN#LUTEOLIN-7-O-GALACTOSYL-GLUCURONIDE
ASTERACEAE#ANTENNARIA DIOICA#LUTEOLIN#LUTEOLIN-4'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#ANTHEMIS COTULA#LUTEOLIN
ASTERACEAE#ANTHEMIS CRETICA#LUTEOLIN
ASTERACEAE#ANTHEMIS MARITIMA#LUTEOLIN
ASTERACEAE#ANTHEMIS NIGRESCENS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#ANTHEMIS NOBILIS#LUTEOLIN
ASTERACEAE#ANTHEMIS NOBILIS_CV.DOUBLE#LUTEOLIN
ASTERACEAE#ARCTOTIS VENUSTA#LUTEOLIN,6-HYDROXY: 3'-7-DIMETHYL ETHER
ASTERACEAE#ARNICA AMPLEXICAULIS#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:#LUTEOLIN,3'-METHYL:#LUTEOLIN-6-METHYL ETHER
ASTERACEAE#ARNICA CHAMISSONIS_CV.CHAMISSONIS#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:#LUTEOLIN,3'-METHYL:#LUTEOLIN-6-METHYL ETHER
ASTERACEAE#ARNICA CHAMISSONIS_CV.FOLIOSA#LUTEOLIN#LUTEOLIN,3'-4'-6-TRIMETHOXY:#LUTEOLIN,3'-METHYL:#LUTEOLIN-6-METHYL ETHER
ASTERACEAE#ARNICA CHAMISSONIS_CV.FOLIOSA_VAR.INCANA#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:#LUTEOLIN-3'-O-BETA-D-GLUCOSIDE#LUTEOLIN-6-METHYL ETHER#LUTEOLIN-7-[6''-O-(2-METHYL-BUTYRYL)]-BETA-D-GLUCOSIDE
ASTERACEAE#ARNICA CORDIFOLIA#LUTEOLIN,6-METHOXY: 7-O-GLUCOSIDE
ASTERACEAE#ARNICA FULGENS#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#ARNICA GRACILIS#LUTEOLIN,4'-METHOXY:#LUTEOLIN,6-METHOXY: 7-O-GLUCOSIDE
ASTERACEAE#ARNICA LONGIFOLIA#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:#LUTEOLIN,3'-METHYL:#LUTEOLIN-6-METHYL ETHER
ASTERACEAE#ARNICA MOLLIS#LUTEOLIN#LUTEOLIN,3'-4'-6-TRIMETHOXY:#LUTEOLIN,3'-4'-7-TRIMETHYL:#LUTEOLIN,3'-6-DIMETHOXY:#LUTEOLIN,3'-7-DIMETHYL:#LUTEOLIN,3'-METHYL:#LUTEOLIN,4'-7-DIMETHYL:#LUTEOLIN-6-METHYL ETHER
ASTERACEAE#ARNICA NEVADENSIS#LUTEOLIN,4'-METHOXY:#LUTEOLIN-6-METHOXY:
ASTERACEAE#ARNICA PARRYI_CV.SONNEI#LUTEOLIN#LUTEOLIN,3'-6-DIMETHOXY:#LUTEOLIN,3'-METHYL:#LUTEOLIN-6-METHYL ETHER
ASTERACEAE#ARNICA SORORIA#LUTEOLIN,6-METHOXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#ARNICA SPATHULATA#LUTEOLIN,4-6-DIMETHOXY:
ASTERACEAE#ARNICA VISCOSA#LUTEOLIN,3'-6-7-TRIMETHOXY:#LUTEOLIN,4-6-DIMETHOXY:#LUTEOLIN,6-HYDROXY-4'-METHOXY:#LUTEOLIN,6-HYDROXY-4'-O-METHYL:
ASTERACEAE#ARTEMISIA ABROTANUM#LUTEOLIN
ASTERACEAE#ARTEMISIA AFRA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#ARTEMISIA ALBA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#ARTEMISIA ANNUA#LUTEOLIN#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#ARTEMISIA ASSOANA#LUTEOLIN
ASTERACEAE#ARTEMISIA AUSTRIACA#ETHER#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-4'-6-7-TETRAMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-6-7-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 4'-6-7-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-7-DIMETHYL#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN-3'-O-BETA-D-GLUCOSIDE
ASTERACEAE#ARTEMISIA CAMPESTRIS#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA CAPILLARIS#LUTEOLIN-3'-4'-7-TRIMETHYL ETHER
ASTERACEAE#ARTEMISIA CAUCASICA#LUTEOLIN
ASTERACEAE#ARTEMISIA DIFFUSA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#ARTEMISIA DOUGLASIANA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#ARTEMISIA ECHEGARAYI#LUTEOLIN#LUTEOLIN,6-HYDROXY:#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#ARTEMISIA FRIGIDA#LUTEOLIN#LUTEOLIN-3'-4'-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA GIRALDII_VAR.GIRALDII#LUTEOLIN
ASTERACEAE#ARTEMISIA GLACIALIS#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA HERBA-ALBA#LUTEOLIN
ASTERACEAE#ARTEMISIA HISPANICA#LUTEOLIN
ASTERACEAE#ARTEMISIA IGNIARIA#LUTEOLIN
ASTERACEAE#ARTEMISIA INTRICATA#LUTEOLIN
ASTERACEAE#ARTEMISIA IWAYOMOGI#LUTEOLIN#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN-3'-7-DIMETHYL ETHER#LUTEOLIN-3'-METHYL ETHER#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#ARTEMISIA JUDAICA#LUTEOLIN#LUTEOLIN-3'-7-DIGLUCOSIDE#LUTEOLIN-3'-BETA-D-GLUCOSIDE#LUTEOLIN-4'-BETA-D-GLUCOSIDE#LUTEOLIN-7-GENTIOBIOSIDE
ASTERACEAE#ARTEMISIA LESSINGIANA#LUTEOLIN
ASTERACEAE#ARTEMISIA LUDOVICIANA#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA LUDOVICIANA_CV.INCOMPTA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ETHER
ASTERACEAE#ARTEMISIA LUDOVICIANA_VAR.LUDOVICIANA#LUTEOLIN#LUTEOLIN-3'-4'-DIMETHYL ETHER
ASTERACEAE#ARTEMISIA MENDOZANA#LUTEOLIN
ASTERACEAE#ARTEMISIA MINOR#LUTEOLIN
ASTERACEAE#ARTEMISIA MOLINIERI#LUTEOLIN#LUTEOLIN,6-HYDROXY: 6-7-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN-3'-METHYL ETHER#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#ARTEMISIA MONOSPERMA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3-6-7-TRIMETHYL
