ACANTHACEAE#ANISACANTHUS VIRGULARIS#LUTEOLIN
ASTERACEAE#VIGUIERA ERIOPHORA_CV.POBLANA#LUTEOLIN#LUTEOLIN,6-HYDROXY:
ASTERACEAE#VIGUIERA GREGGII#LUTEOLIN
ASTERACEAE#VIGUIERA HYPARGYREA#LUTEOLIN
ASTERACEAE#VIGUIERA INSIGNIS#LUTEOLIN#LUTEOLIN,6-HYDROXY:
ASTERACEAE#VIGUIERA LACINIATA#LUTEOLIN#LUTEOLIN 3'-METHYL ETHER#LUTEOLIN 4'-7-DIMETHYL ETHER
ASTERACEAE#VIGUIERA LANATA#LUTEOLIN,6-HYDROXY: 7-METHYL ETHER#LUTEOLIN,6-METHOXY: 4'-METHYL ETHER
ASTERACEAE#VIGUIERA MICROPHYLLA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 7-METHYL ETHER
ASTERACEAE#VIGUIERA PARISHII#LUTEOLIN
ASTERACEAE#VIGUIERA PURUANA#LUTEOLIN
ASTERACEAE#VIGUIERA QUINQUERADIATA#LUTEOLIN#LUTEOLIN,6-HYDROXY:
ASTERACEAE#VIGUIERA RETICULATA#LUTEOLIN
ASTERACEAE#VIGUIERA SPHAEROCEPHALA#LUTEOLIN
ASTERACEAE#VIGUIERA SUBINCISA#LUTEOLIN,6-METHOXY: 3'-METHYL ETHER
ASTERACEAE#VIGUIERA TOMENTOSA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 7-METHYL ETHER
ASTERACEAE#VIGUIERA TRACHYPHYLLA#LUTEOLIN
ASTERACEAE#VIGUIERA TRIANGULARIS#LUTEOLIN#LUTEOLIN,6-HYDROXY: 7-METHYL ETHER
ASTERACEAE#WEDELIA PALUDOSA#LUTEOLIN
ASTERACEAE#WUNDERLICHIA CRUELSIANA#LUTEOLIN
ASTERACEAE#XANTHISMA TEXANUM_CV.TEXANUM_VAR.ORIENTALIS#LUTEOLIN
ASTERACEAE#XANTHISMA TEXANUM_CV.TEXANUM_VAR.TEXANUM#LUTEOLIN
AULACOMNIACEAE#AULACOMNIUM PALUSTRE#AULACOMNIUMTRILUTEOLIN
AZOLLACEAE#AZOLLA IMBRICATA#GALUTEOLIN
AZOLLACEAE#AZOLLA JAPONICA#GALUTEOLIN
BALSAMINACEAE#IMPATIENS TEXTORI#LUTEOLIN
BARTRAMIACEAE#BARTRAMIA POMIFORMIS#BARTRAMIATRILUTEOLIN#BARTRAMIATRILUTEOLIN,EPI:#STRICTATRILUTEOLIN
BARTRAMIACEAE#BARTRAMIA RUWENZORIENSIS#BARTRAMIATRILUTEOLIN#BARTRAMIATRILUTEOLIN,EPI:
BARTRAMIACEAE#BARTRAMIA STRICTA#BARTRAMIATRILUTEOLIN#BARTRAMIATRILUTEOLIN,EPI:#CYCLOBARTRAMIATRILUTEOLIN#STRICTATRILUTEOLIN
BEGONIACEAE#BEGONIA ERYTHROPHYLLA#LUTEOLIN
BEGONIACEAE#BEGONIA MALABARICA#LUTEOLIN
BERBERIDACEAE#BERBERIS DARWINII#LUTEOLIN
BERBERIDACEAE#BERBERIS GAGNEPAINII#LUTEOLIN
BERBERIDACEAE#BERBERIS JULIANAE#LUTEOLIN
BERBERIDACEAE#BERBERIS PRUINOSA#LUTEOLIN
BERBERIDACEAE#BERBERIS RUSCIFOLIA#LUTEOLIN
BERBERIDACEAE#BERBERIS SANGUINEA#LUTEOLIN
BERBERIDACEAE#BERBERIS STENOPHYLLA#LUTEOLIN
BERBERIDACEAE#BERBERIS WALLICHIANA#LUTEOLIN
BERBERIDACEAE#BERBERIS WILSONIAE#LUTEOLIN
BERBERIDACEAE#BERBERIS YUNNANENSIS#LUTEOLIN
BERBERIDACEAE#EPIMEDIUM BREVICORNUM#LUTEOLIN
BERBERIDACEAE#EPIMEDIUM COACTUM#LUTEOLIN
BERBERIDACEAE#EPIMEDIUM HUNANENSE#LUTEOLIN
BERBERIDACEAE#EPIMEDIUM KOREANUM#LUTEOLIN
BERBERIDACEAE#EPIMEDIUM SAGITTATUM#LUTEOLIN
BERBERIDACEAE#EPIMEDIUM TRUNCATUM#LUTEOLIN
BETULACEAE#ALNUS GLUTINOSA#LUTEOLIN,6-HYDROXY: 4'-6-DIMETHYL ETHER
BETULACEAE#BETULA ALBA#LUTEOLIN
BETULACEAE#BETULA CARPATICA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BETULACEAE#BETULA LENTA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
BETULACEAE#BETULA LUTEA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
BETULACEAE#BETULA NIGRA#LUTEOLIN
BETULACEAE#BETULA PAPYRIFERA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BETULACEAE#BETULA PAPYRIFERA_VAR.COMMUTATA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BETULACEAE#BETULA PAPYRIFERA_VAR.NEOALASCANA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BETULACEAE#BETULA PUBESCENS#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BETULACEAE#BETULA PUBESCENS_CV.PUBESCENS#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BETULACEAE#BETULA PUBESCENS_CV.TORTUOSA_VAR.CARPATICA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BETULACEAE#BETULA PUBESCENS_CV.TORTUOSA_VAR.TORTUOSA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BETULACEAE#BETULA TORTUOSA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
BIGNONIACEAE#ADENOCALYMMA ALLIACEA#LUTEOLIN
BIGNONIACEAE#ARRABIDAEA BRACHYPODA#LUTEOLIN
BIGNONIACEAE#ARRABIDAEA CHICA#LUTEOLIN
BIGNONIACEAE#DOLICHANDRONE FALCATA#LUTEOLIN
BIGNONIACEAE#JACARANDA DECURRENS#LUTEOLIN#LUTEOLIN,6-HYDROXY: 7-O-GLUCOSIDE
BIGNONIACEAE#KIGELIA PINNATA#LUTEOLIN#LUTEOLIN,7-HYDROXY:
BIGNONIACEAE#MACFADYENA UNGUIS-CATI#LUTEOLIN
BIGNONIACEAE#OROXYLUM INDICUM#LUTEOLIN,6-HYDROXY:#LUTEOLIN,7-HYDROXY:
BIGNONIACEAE#TABEBUIA CARAIBA#LUTEOLIN,6-HYDROXY:#LUTEOLIN,6-HYDROXY: 7-O-GLUCOSIDE
BIGNONIACEAE#TABEBUIA OCHRACEA#LUTEOLIN,6-HYDROXY: 7-O-GLUCOSIDE
BIGNONIACEAE#TECOMA ARGENTEA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE
BIGNONIACEAE#TECOMA CAPENSIS#LUTEOLIN#LUTEOLIN-7-O-(6''-O-TRANS-CAFFEOYL)-BETA-D-GLUCOPYRANOSIDE#LUTEOLIN-7-O-(6''-O-TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONOPYRANOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONOPYRANOSIDE METHYL ESTER#LUTEOLIN-7-O-BETA-D-NEOHESPERIDOSIDE
BIXACEAE#BIXA ORELLANA#LUTEOLIN-7-BISULFATE
BLECHNACEAE#BLECHNUM BRASILIENSE_VAR.CORCOVADENSE#LUTEOLINIDIN#LUTEOLINIDIN-5-GLUCOSIDE
BLECHNACEAE#BLECHNUM NOVAE-ZEYLANDIAE#LUTEOLINIDIN-5-O-BETA-D-(3-O-BETA-D-GLUCOPYRANOSYL-2-O-ACETYL-GLUCOPYRANOSIDE)
BORAGINACEAE#EHRETIA OVALIFOLIA#LUTEOLIN
BORAGINACEAE#ONOSMA HETEROPHYLLA#LUTEOLIN
BRASSICACEAE#ANASTATICA HIEROCHUNTICA#LUTEOLIN
BRASSICACEAE#BARBAREA VULGARIS#LUTEOLIN-3'-O-METHYL-6-C-BETA-D-GLUCOPYRANOSIDE#LUTEOLIN-6-C-BETA-D-GLUCOPYRANOSIDE
BRASSICACEAE#CAPSELLA BURSA-PASTORIS#LUTEOLIN-7-O-ALPHA-L-GALACTOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
BRASSICACEAE#DIPLOTAXIS ACRIS#LUTEOLIN#LUTEOLIN-7-DIGLUCOSIDE#LUTEOLIN-7-RHAMNOSIDE
BRASSICACEAE#PARODIODOXA CHIONOPHILA#LUTEOLIN-7-O-DIGLUCOSIDE
BROMELIACEAE#VRIESEA SANGUINOLENTA#LUTEOLIN,6-HYDROXY: 7-O-(1''-ALPHA-RHAMNOSIDE)
BRYACEAE#BRYUM ALGENS#LUTEOLIN#LUTEOLIN GLYCOSIDE#LUTEOLIN GLYCOSIDE,8-HYDROXY:#LUTEOLIN-7-O-GALACTOSIDE
BRYACEAE#BRYUM ARGENTEUM#LUTEOLIN#LUTEOLIN-7-O-BETA-D-(6''-O-MALONYL)-GLUCOSIDE
BRYACEAE#BRYUM CAPILLARE#LUTEOLIN#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE-6''-MALONIC ACID ESTER#LUTEOLIN-7-O-BETA-D-GLUCOSIDE-6''-MALONIC ACID ESTER
BRYACEAE#BRYUM PSEUDOTRIQUETRUM#LUTEOLIN-7-O-NEOHESPERIDOSIDE#LUTEOLIN-7-O-NEOHESPERIDOSIDE-6''-MALONYL ESTER
BUDDLEJACEAE#BUDDLEJA GLOBOSA#LUTEOLIN#LUTEOLIN,6-HYDROXY:
BUDDLEJACEAE#BUDDLEJA OFFICINALIS#LUTEOLIN
BUDDLEJACEAE#BUDDLEJA POLYSTACHYA#LUTEOLIN
BURSERACEAE#BURSERA GRAVEOLENS#LUTEOLIN-3'-O-ALPHA-L-(3''-ACETYL-TRANS-2''-PARA-COUMAROYL)-RHAMNOPYRANOSIDE#LUTEOLIN-3'-O-ALPHA-L-(TRANS-2''-PARA-COUMAROYL)-RHAMNOPYRANOSIDE#LUTEOLIN-3'-O-ALPHA-L-(TRANS-3''-PARA-COUMAROYL)-RHAMNOPYRANOSIDE#LUTEOLIN-3'-O-ALPHA-RHAMNOPYRANOSIDE
CACTACEAE#OPUNTIA FICUS-INDICA#LUTEOLIN
CALYCANTHACEAE#IDIOSPERMUM AUSTRALIENSE#LUTEOLIN-7-O-DIGLUCOSIDE
CAMPANULACEAE#ADENOPHORA REMOTIFLORA_VAR.HIRTICALYX#LUTEOLIN
CAMPANULACEAE#ASYNEUMA ARGUTUM#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GENTIOBIOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
CAMPANULACEAE#ASYNEUMA CAMPANULOIDES#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GENTIOBIOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
CAMPANULACEAE#ASYNEUMA CICHORIFORME#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GENTIOBIOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
CAMPANULACEAE#ASYNEUMA TRAUTVETTERI#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GENTIOBIOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
CAMPANULACEAE#CAMPANULA PATULA#LUTEOLIN-7-APIOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GENTIOBIOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
CAMPANULACEAE#CAMPANULA PERSICIFOLIA#LUTEOLIN#LUTEOLIN-3'-O-BETA-D-GLUCOSYL-7-O-RUTINOSIDE#LUTEOLIN-4'-7-DI-O-BETA-D-GLUCOPYRANOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
CAMPANULACEAE#CODONOPSIS CLEMATIDEA#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GALACTOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
CAMPANULACEAE#CODONOPSIS LANCEOLATA#GALUTEOLIN#LUTEOLIN
CAMPANULACEAE#CODONOPSIS OVATA#LUTEOLIN
CAMPANULACEAE#CRYPTOCODON MONOCEPHALUS#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GENTIOBIOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
CAMPANULACEAE#SYMPHYANDRA DARALAGHEZICA#LUTEOLIN
CAMPANULACEAE#SYMPHYANDRA TRANSCAUCASICA#LUTEOLIN
CAMPANULACEAE#SYPHOCAMPYLUS VERTICILLATUS#LUTEOLIN,3'-METHOXY:
CAPPARIDACEAE#CLEOME AMBLYOCARPA#LUTEOLIN-3'-METHYL ETHER#LUTEOLIN-3'-METHYL ETHER 7-O-BETA-D-GLUCOSIDE
CAPPARIDACEAE#CLEOME DROSERIFOLIA#LUTEOLIN
CAPPARIDACEAE#GYNANDROPSIS GYNANDRA#LUTEOLIN
CAPRIFOLIACEAE#LEYCESTERIA FORMOSA#GALUTEOLIN
CAPRIFOLIACEAE#LONICERA ETRUSCA#LUTEOLIN,7-O-BETA-D-GLUCOSIDE:
CAPRIFOLIACEAE#LONICERA GRACILIPES_VAR.GLANDULOSA#LUTEOLIN-7-O-GENTIOBIOSIDE#LUTEOLIN-7-O-NEOHESPERIDOSIDE
CAPRIFOLIACEAE#LONICERA JAPONICA#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GALACTOSIDE
CAPRIFOLIACEAE#LONICERA MICROPHYLLA#LUTEOLIN
CAPRIFOLIACEAE#LONICERA MORROWII#LUTEOLIN#LUTEOLIN-4'-7-DI-O-GLUCOSIDE#LUTEOLIN-4'-O-GLUCOSIDE
CAPRIFOLIACEAE#LONICERA SIMILIS#LUTEOLIN
CAPRIFOLIACEAE#SYMPHORICARPOS ALBUS#LUTEOLIN#LUTEOLIN-7-ARABINOGLUCOSIDE#LUTEOLIN-7-O-ALPHA-ARABINOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE#LUTEOLIN-7-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE#LUTEOLIN-7-RHAMNOGLUCOSIDE
CAPRIFOLIACEAE#SYMPHORICARPOS RACEMOSUS#LUTEOLIN#LUTEOLIN-7-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE
CAPRIFOLIACEAE#VIBURNUM BUDDLEIFOLIUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM CARLESII#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM CINNAMOMIFOLIUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM COTINIFOLIUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM DENTATUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM DILATATUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM GRANDIFOLIUM#LUTEOLIN-3'-GLUCOSYL(1-2)-GLUCOSIDE
CAPRIFOLIACEAE#VIBURNUM LANTANA#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM MACROCEPHALUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM PHLEBOTRICHUM#LUTEOLIN,GLUCO:
CAPRIFOLIACEAE#VIBURNUM PLICATUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM RAFINESQUIANUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM RHYTIDOPHYLLUM#LUTEOLIN
CAPRIFOLIACEAE#VIBURNUM TINUS#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM ANOMALUM#LUTEOLIN#LUTEOLIN-6-C-BETA-D-GLUCOSIDE
CARYOPHYLLACEAE#CERASTIUM BIEBERSTEINII#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM CERASTOIDES#LUTEOLIN#LUTEOLIN-6-C-BETA-D-GLUCOSIDE
CARYOPHYLLACEAE#CERASTIUM DAHURICUM#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM FALCATUM#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM FONTANUM#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM GRANDIFLORUM#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM IMBRICATUM#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM PERFOLIATUM#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM PILOSUM#LUTEOLIN
CARYOPHYLLACEAE#CERASTIUM TRIGYNUM#LUTEOLIN#LUTEOLIN-6-C-BETA-D-GLUCOSIDE
CARYOPHYLLACEAE#DIANTHUS ARENARIUS#LUTEOLIN-4'-O-GLUCOPYRANOSIDE
CARYOPHYLLACEAE#DIANTHUS CRINITUS#LUTEOLIN-4'-O-GLUCOPYRANOSIDE
CARYOPHYLLACEAE#DIANTHUS DELTOIDES#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
CARYOPHYLLACEAE#DIANTHUS PSEUDOSQUARROSUS#GALUTEOLIN#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
CARYOPHYLLACEAE#DIANTHUS TETRALEPSIS#LUTEOLIN-4'-O-GLUCOPYRANOSIDE
CARYOPHYLLACEAE#MELANDRIUM ALBUM#LUTEOLIN-O-C-GLYCOSIDE
CARYOPHYLLACEAE#MELANDRIUM NOCTIFLORUM#LUTEOLIN DIGLUCOSIDE#LUTEOLIN-TRIGLUCOSIDE
CARYOPHYLLACEAE#MELANDRIUM OVALIFOLIUM#LUTEOLIN-DI-GLUCOSIDE#LUTEOLIN-TRIGLUCOSIDE
CARYOPHYLLACEAE#PARONYCHIA SESSILIFLORA#LUTEOLIN
CARYOPHYLLACEAE#STELLARIA MEDIA#LUTEOLIN
CHENOPODIACEAE#BASSIA MURICATA#LUTEOLIN, 7-O-BETA-D-GLUCURONIDE:
CHENOPODIACEAE#CORNULACA MONACANTHA#LUTEOLIN-7-O-RHAMNOSIDE#LUTEOLIN-8-O-GLUCOSIDE-3'-O-RUTINOSIDE
CISTACEAE#CISTUS CLUSII#LUTEOLIN,3'-4'-7-TRIMETHYL:#LUTEOLIN,3'-7-DIMETHYL:
CISTACEAE#CISTUS INCANUS#LUTEOLIN
CISTACEAE#CISTUS LAURIFOLIUS#LUTEOLIN#LUTEOLIN-3'-7-DIMETHYL ETHER#LUTEOLIN-3'-METHYL ETHER#LUTEOLIN-7-METHYL ETHER
CISTACEAE#CISTUS PSILOSEPALUS#LUTEOLIN-3'-7-DIMETHYL ETHER
CLUSIACEAE#GARCINIA PURPUREA#LUTEOLIN-7-O-(6''-METHYL ESTER)-GLUCURONIDE
CLUSIACEAE#HYPERICUM ADENOTRICHUM#LUTEOLIN
CLUSIACEAE#HYPERICUM BELLUM#LUTEOLIN
CLUSIACEAE#HYPERICUM BRASILIENSE#LUTEOLIN
CLUSIACEAE#HYPERICUM CALYCINUM#LUTEOLIN
CLUSIACEAE#HYPERICUM CORIS#LUTEOLIN
CLUSIACEAE#HYPERICUM CRUX-ANDREAE#LUTEOLIN-6-C-GLYCOSIDE
CLUSIACEAE#HYPERICUM ELONGATUM#LUTEOLIN
CLUSIACEAE#HYPERICUM EMPETRIFOLIUM#LUTEOLIN
CLUSIACEAE#HYPERICUM HELIANTHEMOIDES#LUTEOLIN
CLUSIACEAE#HYPERICUM HIRSUTUM#LUTEOLIN
CLUSIACEAE#HYPERICUM MACULATUM#LUTEOLIN
CLUSIACEAE#HYPERICUM NUMMULARIOIDES#LUTEOLIN
CLUSIACEAE#HYPERICUM NUMMULARIUM#LUTEOLIN
CLUSIACEAE#HYPERICUM PERFORATUM#LUTEOLIN#LUTEOLIN,6-C-PRENYL:#LUTEOLIN-3'-5-DIMETHYL ETHER#LUTEOLIN-3'-GLUCOSIDE#LUTEOLIN-5-GLUCOSIDE
CLUSIACEAE#HYPERICUM PULCHRUM#LUTEOLIN
CLUSIACEAE#HYPERICUM SAMPSONII#LUTEOLIN
CLUSIACEAE#HYPERICUM SCABRUM#LUTEOLIN
CLUSIACEAE#HYPERICUM TETRAPETALUM#LUTEOLIN-6-GLYCOSIDE
COMBRETACEAE#ANOGEISSUS LATIFOLIA#LUTEOLIN-7-O-BETA-DLGALACTOPYRANOSIDE(1-6)-O-BETA-D-GALACTOPYRANOSIDE
COMBRETACEAE#TERMINALIA ARJUNA#LUTEOLIN
COMMELINACEAE#GIBASIS SCHIEDEANA#LUTEOLIN-6-C-GLUCOSYL-8-C-XYLOSIDE
CONOCEPHALACEAE#CONOCEPHALUM CONICUM#LUTEOLIN-3'-4'-7-TRIGLUCURONIDE#LUTEOLIN-3'-4'-DI-O-ALPHA-L-RHAMNOSIDE#LUTEOLIN-3'-7-DI-O-BETA-D-GLUCURONIDE#LUTEOLIN-3'-RHAMNOSIDE-7-GLUCURONIDE#LUTEOLIN-4'-7-DI-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE-3'-4-DI-O-ALPHA-L-RHAMNOSIDE
CONOCEPHALACEAE#CONOCEPHALUM SUPRADECOMPOSITUM#LUTEOLIN-4'-7-GIGLUCURONIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
CONVOLVULACEAE#CONVOLVULUS ARVENSIS#LUTEOLIN
CONVOLVULACEAE#EVOLVULUS NUMMULARIUS#LUTEOLIN
CONVOLVULACEAE#MERREMIA TRIDENTATA#LUTEOLIN
CRASSULACEAE#BRYOPHYLLUM PINNATUM#LUTEOLIN
CRASSULACEAE#KALANCHOE GRACILIS#LUTEOLIN
CRASSULACEAE#RHODIOLA FASTIGIATA#LUTEOLIN-7-ETHYL ETHER
CRASSULACEAE#SEDUM ALFREDII#LUTEOLIN
CRASSULACEAE#SEDUM SARMENTOSUM#LUTEOLIN
CUCURBITACEAE#BRYONIA DIOICA#LUTEOLIN
CUCURBITACEAE#LUFFA ECHINATA#LUTEOLIN
CUCURBITACEAE#TRICHOSANTHES KIRILOWII#LUTEOLIN 3'-O-BETA-D-GLUCOSIDE#LUTEOLIN 4'-O-BETA-D-GLUCOSIDE
CUCURBITACEAE#TRICHOSANTHES KIRILOWII_VAR.JAPONICA#LUTEOLIN 3'-O-BETA-D-GLUCOSIDE#LUTEOLIN 4'-O-BETA-D-GLUCOSIDE
CUPRESSACEAE#CUPRESSUS TORULOSA#LUTEOLIN
CUPRESSACEAE#JUNIPERUS CHINENSIS_VAR.KAIZUKA#LUTEOLIN
CUPRESSACEAE#JUNIPERUS COMMUNIS#LUTEOLIN
CUPRESSACEAE#LIBOCEDRUS BIDWILLII#LUTEOLIN,8-HYDROXY:
CUPRESSACEAE#LIBOCEDRUS CHEVALIERI#LUTEOLIN,8-HYDROXY:
CUPRESSACEAE#LIBOCEDRUS PLUMOSA#LUTEOLIN,8-HYDROXY: 7-O-XYLOSIDE
CUPRESSACEAE#LIBOCEDRUS YATEENSIS#LUTEOLIN,8-HYDROXY:
CUPRESSACEAE#NEOCALLITROPSIS PANCHERI#LUTEOLIN,8-HYDROXY:
CUPRESSACEAE#SABINA VULGARIS#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE
CUPRESSACEAE#THUJA ORIENTALIS#LUTEOLIN
CYPERACEAE#AFROTRILEPIS PILOSA#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#ASCOLEPIS SPECIES#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#BAUMEA RUBIGINOSA#LUTEOLIN
CYPERACEAE#BAUMEA TERETIFOLIA#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#BISBOECKELERA MICROCEPHALA#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#BOLBOSCHOENUS CALDWELLII#LUTEOLIN#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#BOLBOSCHOENUS FLUVIATILIS#LUTEOLIN
CYPERACEAE#CALYPTROCARYA BREVICAULIS#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#CALYPTROCARYA GLOMERULATA#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#CAREX APPRESSA#LUTEOLIN#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#CARPHA ALPINA#LUTEOLIN
CYPERACEAE#CARPHA NIVICOLA#LUTEOLIN
CYPERACEAE#CAUSTIS BLAKEI#LUTEOLIN
CYPERACEAE#CAUSTIS DIOICA#LUTEOLIN
CYPERACEAE#CAUSTIS FLEXUOSA#LUTEOLIN
CYPERACEAE#CAUSTIS RECURVATA#LUTEOLIN
CYPERACEAE#CHORIZANDRA CYMBARIA#LUTEOLIN
CYPERACEAE#CHORIZANDRA SPHAEROCEPHALA#LUTEOLIN
CYPERACEAE#CHRYSITRIX DISTIGMATOSA#LUTEOLIN#LUTEOLIN-7-METHYL ETHER
CYPERACEAE#CLADIUM PROCERUM#LUTEOLIN
CYPERACEAE#COLEOCHLOA SETIFERA#LUTEOLIN
CYPERACEAE#CYATHOCHAETA DIANDRA#LUTEOLIN
CYPERACEAE#CYMOPHYLLUS FRASERI#LUTEOLIN#LUTEOLIN 7-METHYL ETHER,O-GLUCOSIDE#LUTEOLIN-4'7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
CYPERACEAE#CYPERUS AQUATILIS#LUTEOLIN
CYPERACEAE#CYPERUS BOWMANII#LUTEOLIN
CYPERACEAE#CYPERUS BREVIFOLIUS#LUTEOLIN
CYPERACEAE#CYPERUS BULBOSUS#LUTEOLIN
CYPERACEAE#CYPERUS CASTANEUS_VAR.CASTANEUS#LUTEOLIN
CYPERACEAE#CYPERUS COMPRESSUS#LUTEOLIN#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#CYPERUS CONGESTUS#LUTEOLIN
CYPERACEAE#CYPERUS CONGLOMERATUS#LUTEOLIN#LUTEOLIN-7-METHYL ETHER
CYPERACEAE#CYPERUS CUNNINGHAMII#LUTEOLIN
CYPERACEAE#CYPERUS CUSPIDATUS#LUTEOLIN
CYPERACEAE#CYPERUS ENERVIS#LUTEOLIN
CYPERACEAE#CYPERUS ERAGROSTIS#LUTEOLIN
CYPERACEAE#CYPERUS FLACCIDUS#LUTEOLIN
CYPERACEAE#CYPERUS FLAVESCENS#LUTEOLIN
CYPERACEAE#CYPERUS FLAVIDUS#LUTEOLIN
CYPERACEAE#CYPERUS GRACILIS#LUTEOLIN
CYPERACEAE#CYPERUS GUNNII#LUTEOLIN
CYPERACEAE#CYPERUS HASPAN#LUTEOLIN
CYPERACEAE#CYPERUS IRIA#LUTEOLIN
CYPERACEAE#CYPERUS LAEVIS#LUTEOLIN
CYPERACEAE#CYPERUS LONGUS#LUTEOLIN
CYPERACEAE#CYPERUS MACROSTACHYOS#LUTEOLIN
CYPERACEAE#CYPERUS MICROCEPHALUS#LUTEOLIN
CYPERACEAE#CYPERUS ODORATUS#LUTEOLIN
CYPERACEAE#CYPERUS PEDUNCULATUS#LUTEOLIN
CYPERACEAE#CYPERUS PILOSUS#LUTEOLIN
CYPERACEAE#CYPERUS POLYSTACHYUS#LUTEOLIN
CYPERACEAE#CYPERUS PROCERUS#LUTEOLIN
CYPERACEAE#CYPERUS PROLIFER#LUTEOLIN
CYPERACEAE#CYPERUS PYGMAEUS#LUTEOLIN
CYPERACEAE#CYPERUS REFLEXUS#LUTEOLIN#LUTEOLIN-5-METHYL ETHER
CYPERACEAE#CYPERUS ROTUNDUS#LUTEOLIN
CYPERACEAE#CYPERUS SCABER#LUTEOLIN
CYPERACEAE#CYPERUS SPECIES#LUTEOLIN
