ANACARDIACEAE#ANACARDIUM OCCIDENTALE#MYRICETIN
CLUSIACEAE#HYPERICUM MONTBRETII#MYRICETIN
CLUSIACEAE#HYPERICUM NUMMULARIOIDES#MYRICETIN
CLUSIACEAE#HYPERICUM NUMMULARIUM#MYRICETIN
CLUSIACEAE#HYPERICUM OLYMPICUM#MYRICETIN
CLUSIACEAE#HYPERICUM ORIENTALE#MYRICETIN
CLUSIACEAE#HYPERICUM ORIGANIFOLIUM#MYRICETIN
CLUSIACEAE#HYPERICUM PERFOLIATUM#MYRICETIN
CLUSIACEAE#HYPERICUM PERFORATUM#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE
CLUSIACEAE#HYPERICUM POLYPHYLLUM#MYRICETIN
CLUSIACEAE#HYPERICUM PULCHRUM#MYRICETIN
CLUSIACEAE#HYPERICUM REPENS#MYRICETIN
CLUSIACEAE#HYPERICUM RUMELIACUM#MYRICETIN
CLUSIACEAE#HYPERICUM SALSUGINEUM#MYRICETIN
CLUSIACEAE#HYPERICUM SCABRUM#MYRICETIN#MYRICETIN-3-O-RUTINOSIDE
CLUSIACEAE#HYPERICUM THASIUM#MYRICETIN
COCHLOSPERMACEAE#COCHLOSPERMUM TINCTORIUM#MYRICETIN
COMBRETACEAE#COMBRETUM MICRANTHUM#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-RUTINOSIDE
COMBRETACEAE#GUIERA SENEGALENSIS#MYRICETIN#MYRICETIN-3-O-ALPHA-L-ARABINOPYRANOSIDE#MYRICETIN-3-O-BETA-D-(6''-O-GALLOYL)-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-D-(6''-O-GALLOYL)-GLUCOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
CORIARIACEAE#CORIARIA RUSCIFOLIA#MYRICETIN
CRASSULACEAE#AEONIUM LINDLEYI#MYRICETIN-3-3'-4'-5'-7-PENTAMETHYL ETHER#MYRICETIN-3-3'-4'-7-TRIMETHYL ETHER#MYRICETIN-3-3-'4-7-TETRAMETHYL ETHER
CRASSULACEAE#AEONIUM SAUNDERSII#MYRICETIN-3-3'-4'-7-TETRAMETHYL ETHER
CRASSULACEAE#AEONIUM SEDIFOLIUM#MYRICETIN-3'-4'-7-TRIMETHYL ETHER#MYRICETIN-3-3'-4'-5'-7-PENTAMETHYL ETHER#MYRICETIN-3-3'-4'-7-TETRAMETHYL ETHER#MYRICETIN-3-4'-7-TRIMETHYL ETHER
CRASSULACEAE#AEONIUM VISCATUM#MYRICETIN-3-3'-4'-5'-7-PENTAMETHYL ETHER#MYRICETIN-3-3'-4'-7-TETRAMETHYL ETHER
CRASSULACEAE#JOVIBARBA HEUFFELII#MYRICETIN
CRASSULACEAE#OROSTACHYS SPINOSA#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE
CRASSULACEAE#SEDUM AIZOON#MYRICETIN
CRASSULACEAE#SEDUM ALBUM#MYRICETIN
CRASSULACEAE#SEDUM ANGLICUM#MYRICETIN
CRASSULACEAE#SEDUM BREVIFOLIUM#MYRICETIN
CRASSULACEAE#SEDUM EUXINUM#MYRICETIN
CRASSULACEAE#SEDUM FARINOSUM#MYRICETIN
CRASSULACEAE#SEDUM FORSTERIANUM#MYRICETIN
CRASSULACEAE#SEDUM GRISEBACHII#MYRICETIN
CRASSULACEAE#SEDUM KAMTSCHATICUM#MYRICETIN-3-O-(6''-O'-GALLOYL-BETA-D-GLUCOSIDE)#MYRICETIN-3-O-(6''-O-GALLOYL-BETA-D-GLUCOSIDE)#MYRICETIN-3-O-ALPHA-L-GALACTOSIDE
CRASSULACEAE#SEDUM LACONICUM_SSP.PALLIDUM#MYRICETIN
CRASSULACEAE#SEDUM LITOREUM#MYRICETIN
CRASSULACEAE#SEDUM MAXIMUM#MYRICETIN-3-O-BETA-D-GLUCOPYRANOSIDE
CRASSULACEAE#SEDUM MEYERI-JOHANNIS#MYRICETIN
CRASSULACEAE#SEDUM MONTANUM#MYRICETIN
CRASSULACEAE#SEDUM MONTANUM_SSP.MONTANUM#MYRICETIN
