ANACARDIACEAE#ANACARDIUM OCCIDENTALE#MYRICETIN
SAXIFRAGACEAE#TIARELLA TRIFOLIATA_VAR.TRIFOLIATA#MYRICETIN
SAXIFRAGACEAE#TIARELLA TRIFOLIATA_VAR.UNIFOLIATA#MYRICETIN
SAXIFRAGACEAE#TOLMIEA MENZIESII#MYRICETIN-3-O-BETA-D-GLUCOSIDE-6''-GALLATE#MYRICETIN-3-O-BETA-D-RUTINOSIDE
SCROPHULARIACEAE#CALCEOLARIA MEXICANA#MYRICETIN-3-X'-METHOXY:
SCROPHULARIACEAE#CALCEOLARIA PAVONII#MYRICETIN-3-X'-METHOXY:
SCROPHULARIACEAE#CALCEOLARIA TRIPARTITA#MYRICETIN-3-X'-METHOXY:
SCROPHULARIACEAE#DIGITALIS LANATA#MYRICETIN
SCROPHULARIACEAE#KICKXIA RAMOSISSIMA#MYRICETIN
SCROPHULARIACEAE#LINARIA MACROURA#MYRICETIN
SCROPHULARIACEAE#LINDERNIA SPECIES#MYRICETIN
SCROPHULARIACEAE#PEDICULARIS SYLVATICA#MYRICETIN,8-HYDROXY:
SOLANACEAE#CAPSICUM ANNUUM#MYRICETIN
SOLANACEAE#LYCOPERSICON ESCULENTUM#MYRICETIN
SOLANACEAE#PHYSALIS ANGULATA#MYRICETIN-3-O-NEOHESPERIDOSIDE
SOLANACEAE#SOLANUM BREVIDENS#MYRICETIN-3-O-BETA-D-RUTINOSYL-7-GLYCOSIDE
SOLANACEAE#SOLANUM CITRULLIFOLIUM#MYRICETIN,8-HYDROXY: 3-4'-7-TRIMETHYL ETHER#MYRICETIN,8-HYDROXY: 3-4'-7-TRIMETHYL ETHER 8-O-BETA-D-GLUCOSYL-XYLOSIDE#MYRICETIN,8-METHOXY: 3-4'-7-TRIMETHYL ETHER
SOLANACEAE#SOLANUM HETERODOXUM#MYRICETIN,8-HYDROXY: 3-4'-7-TRIMETHYL ETHER#MYRICETIN,8-METHOXY: 3-4'-7-TRIMETHYL ETHER
SOLANACEAE#SOLANUM JAMESII#MYRICETIN-3-RUTINOSIDE-7-GLYCOSIDE
SOLANACEAE#SOLANUM PINNATISECTUM#MYRICETIN-3-7-DIGLUCOSIDE
SOLANACEAE#SOLANUM PUBESCENS#MYRICETIN-3-3'-5'-7-TETRAMETHYL ETHER#MYRICETIN-3-3'-7-TRIMETHYL ETHER
SOLANACEAE#SOLANUM TENUIPES#MYRICETIN,8-HYDROXY: 3-4'-7-TRIMETHYL ETHER#MYRICETIN,8-HYDROXY: 3-4'-7-TRIMETHYL ETHER 8-O-BETA-D-GLUCOSYL-XYLOSIDE#MYRICETIN,8-METHOXY: 3-4'-7-TRIMETHYL ETHER
SOLANACEAE#SOLANUM TUBEROSUM_CV.ROZOVYI#MYRICETIN
SOLANACEAE#SOLANUM UNGUICULATUM#MYRICETIN-3-4'-DIMETHYL ETHER
THEACEAE#CAMELLIA SINENSIS#MYRICETIN
THEACEAE#CAMELLIA SINENSIS_VAR.OOLONG#MYRICETIN
THEACEAE#VISNEA MOCANERA#MYRICETIN
THYMELAEACEAE#MICROSEMMA CERNUA#MYRICETIN
TILIACEAE#TILIA ARGENTEA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
VITACEAE#AMPELOPSIS GROSSEDENTATA#MYRICETIN
VITACEAE#CAYRATIA TRIFOLIA#MYRICETIN
VITACEAE#CISSUS HASTATA#MYRICETIN
VITACEAE#CISSUS REPENS#MYRICETIN
VITACEAE#NOTHOCISSUS SPICIGERA#MYRICETIN
VITACEAE#VITIS RIPARIA#MYRICETIN
VITACEAE#VITIS VINIFERA#MYRICETIN#MYRICETIN-3-GLUCURONIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
VITACEAE#VITIS VULPINA#MYRICETIN
ZINGIBERACEAE#BRACHYCHILUM HORSFIELDII#MYRICETIN
ZINGIBERACEAE#COSTUS MALORTIEANUS#MYRICETIN
ZINGIBERACEAE#ELETTARIA CARDAMOMUM#MYRICETIN
ZINGIBERACEAE#HEDYCHIUM COCCINEUM#MYRICETIN
ZINGIBERACEAE#HEDYCHIUM CORONARIUM#MYRICETIN
ZINGIBERACEAE#HEDYCHIUM ELLIPTICUM#MYRICETIN
ZINGIBERACEAE#HEDYCHIUM GARDNERIANUM#MYRICETIN
ZINGIBERACEAE#HEDYCHIUM GREENII#MYRICETIN
ZINGIBERACEAE#HEDYCHIUM ROXBURGHII#MYRICETIN
ZINGIBERACEAE#HEDYCHIUM STENOPETALUM#MYRICETIN
ZINGIBERACEAE#HEDYCHIUM THYRSIFORME#MYRICETIN
ZINGIBERACEAE#ZINGIBER AROMATICUM#MYRICETIN
ZYGOPHYLLACEAE#LARREA CUNEIFOLIA#MYRICETIN-3-5-DIMETHYL-ETHER-3-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE
ZYGOPHYLLACEAE#LARREA DIVARICATA#MYRICETIN,DIHYDRO: 3'-5'-DI-O-METHYL:
