Cucurbita moschata, 111445090, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111446117, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111448203, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111449105, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111463826, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111463405, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita moschata, 111436081, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita moschata, 111453178, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita moschata, 111447126, anthocyanidin 3-O-glucosyltransferase 5-like isoform X1  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita moschata, 111434571, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita moschata, 111446804, LOW QUALITY PROTEIN: beta-glucosidase 25-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita moschata, 111451989, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita moschata, 111454752, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita moschata, 111461424, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita moschata, 111462687, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita moschata, 111454342, uncharacterized protein LOC111454342  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita moschata, 111449719, uncharacterized protein LOC111449719 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita moschata, 111454423, uncharacterized protein LOC111454423 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita moschata, 111429784, uncharacterized protein LOC111429784  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita moschata, 111441165, uncharacterized protein LOC111441165  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita moschata, 111464917, uncharacterized protein LOC111464917  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita moschata, 111437010, uncharacterized protein LOC111437010  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita moschata, 111448193, uncharacterized protein LOC111448193  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita moschata, 111436072, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita moschata, 111431512, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita moschata, 111457065, beta-glucosidase 45-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita moschata, 111442578, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita moschata, 111441704, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita moschata, 111455414, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita moschata, 111455426, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita moschata, 111455427, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita moschata, 111455428, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita moschata, 111447896, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
