ACANTHACEAE#THOMANDERSIA LAURIFOLIA#CYANIDIN
ACERACEAE#ACER SERRULATUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SHIRASAWANUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER SIEBOLDIANUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SINENSE#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SINOPURPURASCENS#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SPICATUM#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER STACHYOPHLLUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER STERCULIACEUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SYRIACUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TAKESIMENSE#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TARONENSE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TATARICUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TENUIFOLIUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER TETRAMERUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
